,food_cpu,food_rx,food_tx,inside_cpu,inside_rx,inside_tx,assurance_cpu,assurance_rx,assurance_tx,train_cpu,train_rx,train_tx,order_other_cpu,order_other_rx,order_other_tx,food_map_cpu,food_map_rx,food_map_tx,label,class
871,0.069282403516891,0.1225334182049649,0.2056277056277056,0.0791633304884164,0.0,0.0,0.0093712466244523,0.237215033887862,0.0972862263184843,0.1632914004549015,0.0,0.0,0.0032873229067257,0.0,0.0,6.649764198666255e-06,0.0,0.0,1,1
872,0.069282403516891,0.1225334182049649,0.2056277056277056,0.0094245202502353,0.0,0.0,0.0093712466244523,0.237215033887862,0.0972862263184843,0.1632914004549015,0.0,0.0,0.0052494441702257,0.0,0.0,7.580636842780525e-07,0.0,0.0,1,1
873,0.0781512319447221,0.0,0.0,0.0947821438941338,0.0,0.0,0.0017371241983422,0.0,0.0,0.0484939269382715,0.0,0.0,0.0052494441702257,0.0,0.0,3.6655955434012655e-06,0.0,0.0,1,1
874,0.0966761375478887,0.0,0.0,0.1370414771277485,0.0,0.0,0.0017371241983422,0.0,0.0,0.1816784059106369,0.8208955223880597,1.0,0.0008888914482139,0.0,0.0,6.75686905749417e-06,0.0,0.0,1,1
875,0.1224295266338332,0.0,0.0,0.0586088796600177,0.0,0.0,0.0013101392851391,0.0,0.0,0.1816784059106369,0.8208955223880597,1.0,0.0081644410725548,0.0,0.0,6.75686905749417e-06,0.0,0.0,1,1
876,0.1224295266338332,0.0,0.0,0.0586088796600177,0.0,0.0,0.00744233899675,0.0,0.0,0.0577417347640916,0.0,0.0,0.0081644410725548,0.0,0.0,3.868834472909222e-06,0.0,0.0,1,1
877,0.0765635915110954,0.0,0.0,0.0247471470176766,0.0,0.0,0.00744233899675,0.0,0.0,0.2587856889600188,0.0,0.0,0.0014745969323612,0.0,0.0,3.868834472909222e-06,0.0,0.0,1,1
878,0.0765635915110954,0.0,0.0,0.0247471470176766,0.0,0.0,0.0011802260745324,0.0,0.0,0.1460027593996869,0.0,0.0,0.0042075320765833,0.0,0.0,3.79140407230073e-06,0.0365483197265995,0.0153771447070249,1,1
879,0.0397314353336885,0.0,0.0,0.0797213887886813,0.4268292682926829,0.37109375,0.0011802260745324,0.0,0.0,0.1460027593996869,0.0,0.0,0.0060590751903582,0.1589595375722543,0.0810234541577825,5.0033968138685455e-06,0.0,0.0,1,1
880,0.1559681818749052,0.2450668364099299,0.4112554112554112,0.0759344232004434,0.0,0.0,0.0019835211486483,0.0,0.0,0.001255498829112,0.0,0.0,0.0060590751903582,0.1589595375722543,0.0810234541577825,5.0033968138685455e-06,0.0,0.0,1,1
881,0.1559681818749052,0.2450668364099299,0.4112554112554112,0.0759344232004434,0.0,0.0,0.0049386561208358,0.0,0.0,0.1137273127314974,0.0,0.0,0.0005037045162823,0.0,0.0,3.5719629140003115e-06,0.0,0.0,1,1
882,0.0724696988886384,0.0,0.0,0.044311522793063,0.0,0.0,0.0065011361312032,0.237215033887862,0.0972862263184843,0.1137273127314974,0.0,0.0,0.0062126410740681,0.0,0.0,3.5719629140003115e-06,0.0,0.0,1,1
883,0.0726860263480074,0.0,0.0,0.1259430019445153,0.0,0.0,0.0065011361312032,0.237215033887862,0.0972862263184843,0.1054421065613171,0.0,0.0,0.0062126410740681,0.0,0.0,2.3005514188005785e-06,0.0,0.0,1,1
884,0.0726860263480074,0.0,0.0,0.1259430019445153,0.0,0.0,0.0022667613613145,0.0,0.0,0.1477026841433318,0.0,0.0,0.0033051005443783,0.0,0.0,5.222939553540704e-06,0.0,0.0,1,1
885,0.0310718318680948,0.0,0.0,0.0388185969574054,0.0,0.0,0.0030211984020161,0.0,0.0,0.2669969701258897,0.8208955223880597,1.0,0.0033051005443783,0.0,0.0,6.975776913592957e-06,0.0,0.0,1,1
